Census Tract,Walk Score
McKeesport,45
McKeesport,45
McKeesport,32
Wilkinsburg,72
Wilkinsburg,69
Wilkinsburg,72
Wilkinsburg,45
Wilkinsburg,57
Wilkinsburg,71
Wilkinsburg,29
Wilkinsburg,37
Arlington,26
Mount Oliver Neighborhood,26
Lincoln-Lemington-Belmar,25
North Oakland,75
Glen Hazel,31
Beltzhoover,40
Esplen,48
Elliott,42
Allegheny Center,86
East Carnegie,42
Hays,18
Chartiers City,22
Ridgemont,54
East Allegheny,72
Sewickley Heights,9
Aleppo,3
Chalfant,55
McDonald,3
Rosslyn Farms,28
South Versailles Twp,25
North Versailles,40
Jefferson Hills,2
Lincoln-Lemington-Belmar,72
Squirrel Hill South,42
Bloomfield,29
Squirrel Hill South,43
Bloomfield,62
Friendship,72
South Oakland,74
Bloomfield,35
Central Lawrenceville,54
Point Breeze,51
North Shore,75
Lincoln-Lemington-Belmar,35
,
,
,
